user,language,anger,bitter,fear,joy,peace,power,sad,surprise,tender,tension,transcendence,excerpt,emotion,quadrant,preference,pref_enc,familiarity,fam_enc,understanding,und_enc,mus_train,mus_train_encod,emotions,emotions_enc,mus_soph,mus_soph_enc
22,english,1,1,1,5,3,4,1,4,4,2,3,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,43,1,38,1,111,1
23,english,2,2,2,4,3,4,2,4,2,4,4,joy_2,joy,q1_a_pos_v_pos,3, ,4,1,4,1,32,1,30,0,80,0
24,english,1,1,1,4,2,4,1,4,2,1,4,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,7,0,28,0,40,0
25,english,1,4,2,2,2,3,2,2,2,2,1,joy_2,joy,q1_a_pos_v_pos,1,0,1,0,1,0,34,1,34,0,85,1
26,spanish,2,2,1,5,1,4,1,1,2,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,2,0,43,1,36,1,99,1
27,spanish,2,2,1,4,3,4,1,4,1,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,1,0,2,0,42,1,36,1,102,1
28,spanish,1,1,1,5,4,4,1,4,3,3,2,joy_2,joy,q1_a_pos_v_pos,5,1,4,1,4,1,35,1,37,1,103,1
29,spanish,1,1,1,5,1,1,1,2,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,24,0,38,1,95,1
30,spanish,1,1,1,5,3,4,1,3,2,2,3,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,16,0,28,0,62,0
31,spanish,1,1,1,4,1,1,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,1,0,21,0,34,0,62,0
32,spanish,1,1,1,5,2,5,1,4,2,2,2,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,5,1,37,1,37,1,96,1
33,spanish,1,1,1,5,1,5,1,4,2,1,4,joy_2,joy,q1_a_pos_v_pos,2,0,4,1,4,1,14,0,38,1,70,0
34,spanish,1,1,1,5,2,2,2,2,2,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,43,1,36,1,107,1
35,spanish,1,1,1,5,3,4,1,3,3,1,3,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,19,0,28,0,71,0
36,spanish,2,2,2,4,4,4,2,2,2,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,31,1,35,1,87,1
37,spanish,1,1,1,5,1,1,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,4,1,16,0,29,0,60,0
38,spanish,1,1,1,5,2,4,1,4,2,1,2,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,20,0,34,0,64,0
39,spanish,1,1,1,5,3,3,2,1,3,2,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,1,0,7,0,20,0,33,0
40,spanish,1,1,1,5,3,1,1,1,2,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,5,1,43,1,41,1,87,1
41,spanish,1,1,2,5,2,3,2,4,1,4,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,36,1,33,0,83,1
42,spanish,1,1,1,4,3,2,1,2,4,2,4,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,1,0,28,1,32,0,73,0
43,spanish,2,2,2,4,2,4,2,4,3,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,3, ,18,0,29,0,59,0
44,spanish,1,1,1,5,1,4,1,1,2,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,35,1,41,1,97,1
45,spanish,1,1,1,5,1,3,1,4,3,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,11,0,35,1,59,0
46,spanish,1,1,1,5,2,5,1,4,2,1,3,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,3, ,32,1,34,0,89,1
47,spanish,1,1,1,5,4,4,2,4,2,2,4,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,4,1,25,0,30,0,78,0
48,spanish,2,2,2,5,2,2,2,4,3,2,2,joy_2,joy,q1_a_pos_v_pos,2,0,5,1,5,1,30,1,36,1,72,0
49,spanish,1,1,1,5,1,3,1,3,2,2,2,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,36,1,39,1,95,1
50,spanish,1,1,1,5,2,4,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,45,1,42,1,108,1
51,spanish,1,1,1,5,5,5,1,1,2,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,16,0,38,1,74,0
52,spanish,1,1,1,5,1,4,1,3,1,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,22,0,36,1,99,1
